Atividade,Descrição,Pred,DMin,DMp,DMax
1,Remove refractory material,7.15,4,5,10
2,Repair inner air casing,1,1,5,14
3,Repair outer air casing,2,1,5,10
4,Repair under boiler,-,14,27,35
5,Rebrick,2.17,5,6,14
6,Chemically ckean,11.17,4,6,8
7,Remove air registers,-,0,0.5,3
8,Install plastic refractory,10.19,0.5,0.5,1
9,Repair air register assemblies,7,10,10,20
10,Iinstall air registers,5.9,0.5,1,3
11,Rag for chemical cleaning,15,5,6,7
12,Remove drum internals,15,0.5,0.5,3
13,Repair drum internals,12,5,12,18
14,Install drum internals,13.18,1,1.5,3
15,Initial hydrostatic test,-,1,2,5
16,Exploratory block,1.12,7,8,18
17,Retube and poll,16,4,6,12
18,Preliminary hydrostatic test,6,0,0,14
19,final hydrostatic test,14,0,0,3